noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,13,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,14,0.884,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,15,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,16,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,17,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,18,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,19,0.89,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,20,0.892,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,21,0.908,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,22,0.88,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,23,0.918,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,24,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,25,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,26,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,27,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,28,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,29,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,0,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,1,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,2,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,3,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,4,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,5,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,6,0.914,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,7,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,8,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,9,0.909,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,10,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,11,0.915,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,12,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,13,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,14,0.884,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,15,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,16,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,17,0.886,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,18,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,19,0.88,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,20,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,21,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,22,0.884,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,23,0.888,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,24,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,25,0.914,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,26,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,27,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,28,0.878,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,7,29,0.886,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,0,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,1,0.89,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,2,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,3,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,4,0.87,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,5,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,6,0.907,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,7,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,8,0.878,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,9,0.906,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,10,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,11,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,12,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,13,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,14,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,15,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,16,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,17,0.917,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,18,0.907,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,19,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,20,0.906,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,8,21,0.884,0.001339,final_round,2000,30,3,
